Order,Family,Genus and species,Genus,Species,Author,Status ,notes,Kauai,Oahu,Molokai,Lanai,Kahoolawe,Maui,HawaiiIsland
ACARI,Acaridae,Acarus siro,Acarus,siro,"Linnaeus, 1758",adv,,,,,,,,
ACARI,Acaridae,Caloglyphus sp.,Caloglyphus,sp.,,?,,,Oa,,,,,
ACARI,Acaridae,Cosmoglyphus sp.nr. krameri,Cosmoglyphus,sp.nr. krameri,"(Berlese, 1881)",adv?,,,Oa,,,,,
ACARI,Acaridae,Histiogaster carpio,Histiogaster,carpio,"(Kramer, 1881)",adv,,,Oa,,,,,
ACARI,Acaridae,Rhizoglyphus echinopus,Rhizoglyphus,echinopus,"(Fumouze & Robin, 1868)",adv,,,,,,,Ma,Ha
ACARI,Acaridae,Rhizoglyphus phylloxerae,Rhizoglyphus,phylloxerae,"(Riley & Planchon, 1874)",adv,,Ka,Oa,,,,,
ACARI,Acaridae,Sancassania berlesei,Sancassania,berlesei,"(Michael, 1903)",adv,,,Oa,,,,,
ACARI,Acaridae,Suidasia pontifica,Suidasia,pontifica,"Oudemans, 1905",adv,,,Oa,,,,,
ACARI,Acaridae,Tyroglyphus sp.,Tyroglyphus,sp.,,?,,,,Mo,,,,
ACARI,Acaridae,Tyrophagus putrescentiae,Tyrophagus,putrescentiae,"(Schrank, 1781)",adv,,Ka,Oa,,,,Ma,Ha
ACARI,Acaridae,Tyrophagus tenuiclavus,Tyrophagus,tenuiclavus,"Zachvatkin, 1941",adv,,Ka,,,,,,
ACARI,Ameroseiidae,Afrocypholaelaps africana,Afrocypholaelaps,africana,"(Evans, 1963)",adv,,,,,,,,Ha
ACARI,Ameroseiidae,Neocypholaelaps lindquisti,Neocypholaelaps,lindquisti,"Prasad, 1968",end?,,,Oa,,,,,
ACARI,Analgesidae,Megninia columbae,Megninia,columbae,"(Buchholz, 1870)",adv,,,,,,,,
ACARI,Analgesidae,Megninia cubitalis,Megninia,cubitalis,"(Megnin, 1877)",adv,,,,,,,,
ACARI,Analgesidae,Megninia ginglymura,Megninia,ginglymura,"(Megnin, 1877)",adv,,,,,,,,
ACARI,Analgidae,Analges n.sp.,Analges,n.sp.,,?,,,,,,,,Ha
ACARI,Analgidae,Anhemialges sp.,Anhemialges,sp.,,?,,,,,,,,Ha
ACARI,Analgidae,Mesalgoides sp.,Mesalgoides,sp.,,?,,,,,,,,Ha
ACARI,Analgidae,Onychalges n.sp.,Onychalges,n.sp.,,?,,,,,,,,Ha
ACARI,Analgidae,Strelkovarius sp.,Strelkovarius,sp.,,?,,,,,,,,Ha
ACARI,Anystidae,Anystis arzilis,Anystis,arzilis,"(Banks, 1894)",adv,,,Oa,Mo,,,Ma,Ha
ACARI,Anystidae,Anystis baccarum,Anystis,baccarum,"(Linnaeus, 1758)",adv,,,,,,,,
ACARI,Aphelacaridae,Aphelacarus sp.,Aphelacarus,sp.,,?,,,,,,Kh,,
ACARI,Argasidae,Ornithodoros capensis,Ornithodoros,capensis,"Neumann, 1901",adv,,,Oa,,Ln,,,
ACARI,Argasidae,Ornithodoros denmarki,Ornithodoros,denmarki,"Kohls, Sonenshine & Clifford, 1965",adv,,,Oa,,,,,
ACARI,Argasidae,Otobius megnini,Otobius,megnini,"(Duges, 1884)",adv,,,Oa,Mo,,Kh,Ma,Ha
ACARI,Ascidae,Asca aphidioides,Asca,aphidioides,"(Linnaeus, 1758)",adv,,,Oa,,,,,Ha
ACARI,Ascidae,Asca craneta,Asca,craneta,"De Leon, 1967",adv,,,Oa,,,,,
ACARI,Ascidae,Asca duosetosa,Asca,duosetosa,"Fox, 1946",adv,,,Oa,,,,,
ACARI,Ascidae,Asca garmani,Asca,garmani,"Hurlbutt, 1963",adv,,,Oa,,,,,Ha
ACARI,Ascidae,Asca pineta,Asca,pineta,"De Leon, 1967",adv,,,,,,,,Ha
ACARI,Ascidae,Asca quinquesetosa,Asca,quinquesetosa,"Wharton, 1941",adv,,,Oa,,,,,
ACARI,Ascidae,Asca spicata,Asca,spicata,"Hurlbutt, 1963",adv,,,Oa,,,,,Ha
ACARI,Ascidae,Blattisocius dendriticus,Blattisocius,dendriticus,"(Berlese, 1918)",adv,,,Oa,,,,,
ACARI,Ascidae,Blattisocius keegani,Blattisocius,keegani,"Fox, 1947",adv,,,Oa,,,,,
ACARI,Ascidae,Blattisocius tarsalis,Blattisocius,tarsalis,"(Berlese, 1918)",adv,,,,,,,,Ha
ACARI,Ascidae,Cheiroseius sp.nr. necomiger,Cheiroseius,sp.nr. necomiger,"(Oudemans, 1905)",adv,,,,,,,,Ha
ACARI,Ascidae,Cheiroseius serratus,Cheiroseius,serratus,"(Halbert, 1915)",adv,,Ka,,,,,,
ACARI,Ascidae,"Gamasellodes sp. ""bicolor grp.""",Gamasellodes,"sp. ""bicolor grp.""",,adv,,,,,,,,Ha
ACARI,Ascidae,Iphidozercon californicus,Iphidozercon,californicus,"Chant, 1963",adv,,,,,,,,Ha
ACARI,Ascidae,Lasioseius subterraneus,Lasioseius,subterraneus,"Chant, 1963",adv,,,Oa,,,,,
ACARI,Ascidae,Lasioseius sugawarai,Lasioseius,sugawarai,"Ehara, 1964",adv,,,,,,,,Ha
ACARI,Ascidae,Proctolaelaps n.sp. nr. aciculatus,Proctolaelaps,n.sp. nr. aciculatus,Ishikawa,end?,,,Oa,,,,,
ACARI,Ascidae,Proctolaelaps bickleyi,Proctolaelaps,bickleyi,"(Bram, 1956)",adv,,,,,,,,
ACARI,Ascidae,Proctolaelaps lobatus,Proctolaelaps,lobatus,"De Leon, 1963",adv,,,Oa,,,,,
ACARI,Ascidae,Proctolaelaps n.sp.,Proctolaelaps,n.sp.,,adv,,,Oa,,,,,
ACARI,Ascidae,Proctolaelaps pygmaeus,Proctolaelaps,pygmaeus,"(Mueller, 1859)",adv,,,Oa,,,,,Ha
ACARI,Ascidae,Protogamasellus sp.nr. massula,Protogamasellus,sp.nr. massula,"Athias Henriot, 1932",end?,,Ka,,,,,,Ha
ACARI,Atopomelidae,Chirodiscoides caviae,Chirodiscoides,caviae,"Hirst, 1917",adv,,,Oa,,,,,
ACARI,Atopomelidae,Listrophoroides cucullatus,Listrophoroides,cucullatus,"(Trouessart, 1893)",adv,,,Oa,,,,,Ha
ACARI,Barbutiidae,Barbutia sp.,Barbutia,sp.,,?,,,Oa,,,,,
ACARI,Bdellidae,Bdella captiosa,Bdella,captiosa,"Atyeo, 1963",adv,,,,,,,,Ha
ACARI,Bdellidae,Bdella distincta,Bdella,distincta,"Baker & Balock, 1944",adv,,,,,,,,Ha
ACARI,Bdellidae,Bdella mexicana,Bdella,mexicana,"Baker & Balock, 1944",adv,,,Oa,,,,,Ha
ACARI,Bdellidae,Bdella nihoaensis,Bdella,nihoaensis,"Swift & Goff, 1987",end?,,,,,,,,
ACARI,Bdellidae,Bdellodes haramotoi,Bdellodes,haramotoi,"Swift & Goff, 1987",end?,,,Oa,,,,,
ACARI,Bdellidae,Bdellodes hygrotes,Bdellodes,hygrotes,"Swift & Goff, 1987",end?,,,Oa,,,,Ma,
ACARI,Bdellidae,Bdellodes longirostris,Bdellodes,longirostris,"(Hermann, 1804)",adv,,Ka,Oa,,,,,Ha
ACARI,Bdellidae,Bdellodes meridionalis,Bdellodes,meridionalis,"(Thor, 1931)",adv,,,,,,,,Ha
ACARI,Bdellidae,Cyta kauaiensis,Cyta,kauaiensis,"Swift & Goff, 1987",end?,,Ka,,,,,,
ACARI,Bdellidae,Cyta latirostris,Cyta,latirostris,"(Hermann, 1804)",adv,,,,,,,,Ha
ACARI,Bdellidae,Spinibdella bioculata,Spinibdella,bioculata,"Swift & Goff, 1987",end?,,,Oa,,,Kh,,
ACARI,Bdellidae,Spinibdella cronini,Spinibdella,cronini,"(Baker & Balock, 1944)",adv,,,Oa,,,,,Ha
ACARI,Bdellidae,Spinibdella depressa,Spinibdella,depressa,"(Ewing, 1909)",adv,,,Oa,,,,,Ha
ACARI,Bdellidae,Spinibdella howarthi,Spinibdella,howarthi,"Swift & Goff, 1987",end,,,,,,,,Ha
ACARI,Bdellidae,Spinibdella thori,Spinibdella,thori,"(Meyer & Ryke, 1959)",adv,,,Oa,,,,,Ha
ACARI,Bimichaeliidae,Bimichaelia sp.,Bimichaelia,sp.,,?,,Ka,,,,,,Ha
ACARI,Caligonellidae,Coptocheles sp.nr. boharti,Coptocheles,sp.nr. boharti,"Summers & Schlinger, 1955",adv?,,,Oa,,,,,
ACARI,Caligonellidae,Coptocheles sp.nr. triscutatus ,Coptocheles,sp.nr. triscutatus ,"Summers & Schlinger, 1955",adv?,,,Oa,,,,,Ha
ACARI,Caligonellidae,Neognathus sp.,Neognathus,sp.,,?,,,Oa,,,,,
ACARI,Camerobiidae,Tycherobius superbus,Tycherobius,superbus,"(Canestrini, 1889)",adv,,,Oa,,,,,Ha
ACARI,Carabodidae,Austrocarabodes imperfectus,Austrocarabodes,imperfectus,"(Sellnick, 1959)",ind,,,,,,,,
ACARI,Carabodidae,Carabodes sp.,Carabodes,sp.,,?,,,Oa,,,,,
ACARI,Carabodidae,Odontocepheus immarginatus,Odontocepheus,immarginatus,"Jacot, 1934",end?,,,Oa,,,,,
ACARI,Cepheidae,Cepheus pustulatus,Cepheus,pustulatus,"(Pearce, 1910)",end?,,,,Mo,,,,
ACARI,Ceratokalummidae,Ceratokalumma kaszabi,Ceratokalumma,kaszabi,"Balogh & Balogh, 1988",end,,,,,,,,Ha
ACARI,Ceratozetidae,Ceratozetes incurvus,Ceratozetes,incurvus,"Aoki, 1964",end?,,,,,,,,
ACARI,Ceratozetidae,Humerobates fungorum,Humerobates,fungorum,"(Linnaeus, 1758)",adv,,,Oa,,,,,
ACARI,Ceratozetidae,Humerobates rostrolamellatus perkinsi,Humerobates,rostrolamellatus perkinsi,"(Jacot, 1934)",end?,,,Oa,,Ln,,,Ha
ACARI,Ceratozetidae,Hypozetes laysanensis,Hypozetes,laysanensis,"Aoki, 1964",end?,,,,,,Kh,,
ACARI,Cheyletidae,Acarocheyla hawaiiensis,Acarocheyla,hawaiiensis,"(Baker, 1949)",end?,,Ka,Oa,,,,Ma,Ha
ACARI,Cheyletidae,Bak deleoni,Bak,deleoni,"Yunker, 1961",adv,,,Oa,,Ln,,,
ACARI,Cheyletidae,Bak elongatus Diaz,Bak,elongatus Diaz,"Patxot & Goff, 1985",end?,,,Oa,,,,,
ACARI,Cheyletidae,Bakericheyla chanayi,Bakericheyla,chanayi,"(Berlese & Trouessart, 1889)",adv,,,Oa,,,,,
ACARI,Cheyletidae,Chelacheles strabismus,Chelacheles,strabismus,"Baker, 1958",adv,,,Oa,,,,,
ACARI,Cheyletidae,Cheletogenes ornatus,Cheletogenes,ornatus,"(Canestrini & Fanzago, 1876)",adv,,Ka,Oa,,,,,Ha
ACARI,Cheyletidae,Cheletomimus berlesei,Cheletomimus,berlesei,"(Oudemans, 1904)",adv,,,Oa,,,,,
ACARI,Cheyletidae,Cheletomimus citrosinensis Diaz,Cheletomimus,citrosinensis Diaz,"Patxot & Goff, 1985",end?,,,Oa,,,,,
ACARI,Cheyletidae,Cheletomimus duosetosus,Cheletomimus,duosetosus,"Muma, 1964",adv,,,Oa,,,,,
ACARI,Cheyletidae,Cheyletus eruditus,Cheyletus,eruditus,"(Schrank, 1781)",adv,,Ka,Oa,,,,,Ha
ACARI,Cheyletidae,Cheyletus fortis,Cheyletus,fortis,"(Oudemans, 1904)",adv,,,Oa,,,,,Ha
ACARI,Cheyletidae,Cheyletus malaccensis,Cheyletus,malaccensis,"(Oudemans, 1903)",adv,,,Oa,,,,,Ha
ACARI,Cheyletidae,Cheyletus malayensis,Cheyletus,malayensis,"Cunliffe, 1962",adv,,,Oa,,,,,
ACARI,Cheyletidae,Cunliffella panamensis,Cunliffella,panamensis,"(Baker, 1949)",adv,,,Oa,,,,,
ACARI,Cheyletidae,Grallacheles bakeri,Grallacheles,bakeri,"De Leon, 1962",adv,,,Oa,,,,,
ACARI,Cheyletidae,Hemicheyletia bakeri,Hemicheyletia,bakeri,"(Ehara, 1962)",adv,,,,Mo,,Kh,,
ACARI,Cheyletidae,Hemicheyletia bregetovae,Hemicheyletia,bregetovae,"(Volgin, 1969)",adv,,,,,,,,
ACARI,Cheyletidae,Hemicheyletia granula,Hemicheyletia,granula,"Summers & Price, 1970",end,,,,,,,,
ACARI,Cheyletidae,Hemicheyletia kureatollensis,Hemicheyletia,kureatollensis,"Goff, 1982",end,,Ka,,,,,,
ACARI,Cheyletidae,Hemicheyletia wellsi,Hemicheyletia,wellsi,"(Baker, 1949)",adv,,,Oa,Mo,,,,Ha
ACARI,Cheyletidae,Ker palmatus,Ker,palmatus,"Muma, 1964",adv,,,,,,,,
ACARI,Cheyletidae,Nodele philippinensis,Nodele,philippinensis,"(Baker, 1949)",adv,,,Oa,,,,,
ACARI,Cheyletiellidae,Cheyletiella parasitivorax,Cheyletiella,parasitivorax,"(Megnin, 1878)",adv,,,Oa,,,,,
ACARI,Cheyletiellidae,Neocheyletiella media,Neocheyletiella,media,"Fain, 1972",adv,,,,,,,,Ha
ACARI,Cheyletiellidae,Ornithocheyla n.sp.,Ornithocheyla,n.sp.,,adv,,,,,,,,Ha
ACARI,Cheyletiellidae,Ornithocheyletia leiothrix,Ornithocheyletia,leiothrix,"Fain, 1972",adv,,,,,,,,Ha
ACARI,Cheyletiellidae,Ornithocheyletia n.sp.,Ornithocheyletia,n.sp.,,?,,,,,,,,Ha
ACARI,Chirodiscidae,Olabidocarpus americanus,Olabidocarpus,americanus,"McDaniel & Lawrence, 1964",adv,,,,,,,,Ha
ACARI,Cosmochthoniidae,Sphaerochthonius suzukii,Sphaerochthonius,suzukii,"Aoki, 1977",adv?,,,,,,,,
ACARI,Cryptognathidae,Favognathus favus,Favognathus,favus,"(Summers & Chaudhri, 1965)",adv,,,Oa,,,,,
ACARI,Cunaxidae,Cunaxa inermis,Cunaxa,inermis,"(Tragardh, 1905)",adv,,,,,,,,
ACARI,Cunaxidae,Neocunaxoides andrei,Neocunaxoides,andrei,"(Baker & Hoffmann, 1948)",adv,,Ka,Oa,,,,,Ha
ACARI,Cymbaeremaeidae,Scapheremaeus fisheri,Scapheremaeus,fisheri,"Aoki, 1966",end?,,,,,,,,
ACARI,Cymbaeremaeidae,Scapheremaeus sinuosus,Scapheremaeus,sinuosus,"Aoki, 1964",end?,,,,,,Kh,,
ACARI,Cytoditidae,Cytodites nudus,Cytodites,nudus,"(Vizioli, 1870)",adv?,,,,,,,,
ACARI,Demodicidae,Demodex folliculorum,Demodex,folliculorum,"(Simon, 1842)",adv?,,,Oa,,,,,
ACARI,Demodicidae,Demodex phylloides,Demodex,phylloides,"Csokor, 1880",adv,,,Oa,,,,,
ACARI,Dermanyssidae,Hirstionyssus latiscutatus,Hirstionyssus,latiscutatus,"(De Meillon & Lavoipierre, 1944)",adv,,,,,,,,Ha
ACARI,Dermoglyphidae,Dermoglyphus elongatus,Dermoglyphus,elongatus,"(Megnin, 1877)",adv,,,Oa,,,,,
ACARI,Dermoglyphidae,Falculifer rostratus,Falculifer,rostratus,"(Buchholz, 1870)",adv,,,,,,,,
ACARI,Dermoglyphidae,Pterolichus obtusus,Pterolichus,obtusus,"Robin, 1877",adv,,,,,,,,
ACARI,Dermoglyphidae,Xoloptes sp.,Xoloptes,sp.,,?,,,,,,,,
ACARI,Epilohmannidae,Epilohmannia cylindrica,Epilohmannia,cylindrica,"(Berlese, 1904)",adv,,,Oa,,,,,
ACARI,Epilohmannidae,Epilohmannia pallida pacifica,Epilohmannia,pallida pacifica,"Aoki, 1965",end,,,,,,,,
ACARI,Ereynetidae,Boydaia agelaii,Boydaia,agelaii,"Fain & Aitken, 1968",adv,,,,,,,,
ACARI,Ereynetidae,Boydaia nigra,Boydaia,nigra,"Fain, 1955",adv,,,Oa,,,,,Ha
ACARI,Ereynetidae,Ophthalmognathus tenorioae,Ophthalmognathus,tenorioae,"Fain & Goff, 1980",adv,,,Oa,,,,,
ACARI,Ereynetidae,Paraspeleognathus bakeri,Paraspeleognathus,bakeri,"(Fain, 1955)",adv,,,,,,,,Ha
ACARI,Ereynetidae,Speleorodeus derricki,Speleorodeus,derricki,"(Womersley, 1954)",adv,,,,,,,,Ha
ACARI,Eriophyidae,Aceria pisoniae,Aceria,pisoniae,"Keifer, 1964",adv,,,Oa,,,,,
ACARI,Eriophyidae,Aceria swezeyi,Aceria,swezeyi,"(Keifer, 1940)",adv,,,Oa,,,,,Ha
ACARI,Eriophyidae,Aculops lycopersici,Aculops,lycopersici,"(Massee, 1937)",adv,,Ka,Oa,,,,Ma,
ACARI,Eriophyidae,Aculus broussaisiae,Aculus,broussaisiae,"Keifer, 1964",adv,,,Oa,,,,,
ACARI,Eriophyidae,Calacarus brionesae,Calacarus,brionesae,"Keifer, 1963",adv,,,Oa,,,,,
ACARI,Eriophyidae,Colomerus gardeniella,Colomerus,gardeniella,"(Keifer, 1964)",adv,,,Oa,,,,,
ACARI,Eriophyidae,Eriophyes aloinis,Eriophyes,aloinis,"Keifer, 1941",adv,,,Oa,,,,,
ACARI,Eriophyidae,Eriophyes cynodoniensis,Eriophyes,cynodoniensis,"(Sayed, 1946)",adv,,Ka,Oa,,,,,
ACARI,Eriophyidae,Eriophyes fici,Eriophyes,fici,"Essig, 1922",adv,,,Oa,,,,,
ACARI,Eriophyidae,Eriophyes granati,Eriophyes,granati,"(Canestrini & Massalongo, 1894)",adv,,Ka,Oa,,,,,
ACARI,Eriophyidae,Eriophyes hibisci,Eriophyes,hibisci,"Nalepa, 1906",adv,,,Oa,,,,,
ACARI,Eriophyidae,Eriophyes litchii,Eriophyes,litchii,"Keifer, 1943",adv,,,Oa,Mo,,,Ma,Ha
ACARI,Eriophyidae,Eriophyes mangiferae,Eriophyes,mangiferae,"(Sayed, 1946)",adv,,,Oa,,,,,
ACARI,Eriophyidae,Eriophyes sheldoni,Eriophyes,sheldoni,"Ewing, 1937",adv,,,Oa,,,,Ma,
ACARI,Eriophyidae,Phyllocoptruta oleivora,Phyllocoptruta,oleivora,"(Ashmead, 1879)",adv,,Ka,Oa,,,,,Ha
ACARI,Eriophyidae,Phyllocoptruta sakimurae,Phyllocoptruta,sakimurae,"Keifer, 1966",adv,,,Oa,,,,,
ACARI,Eriophyidae,Tegonotus hibiscella,Tegonotus,hibiscella,"Keifer, 1946",adv,,,,,,,,Ha
ACARI,Eriophyidae,Tegonotus mangiferae,Tegonotus,mangiferae,"(Keifer, 1946)",adv,,,,,,,,Ha
ACARI,Erythraeidae,Leptus sp.,Leptus,sp.,,?,,,Oa,,Ln,,,
ACARI,Euphthiracaridae,Rhysotritia ardua,Rhysotritia,ardua,"(C.L. Koch, 1841)",adv,,,,,,,,
ACARI,Eupodidae,Cocceupodes mollicellus,Cocceupodes,mollicellus,"(C.L. Koch, 1838)",adv,,,,,,,,Ha
ACARI,Eupodidae,Cocceupodes trisetatus,Cocceupodes,trisetatus,"Strandtmann & Prasse, 1977",adv,,,,,,,,Ha
ACARI,Eupodidae,Eupodes hawaiiensis,Eupodes,hawaiiensis,"Strandtmann & Goff, 1978",end?,,Ka,,Mo,,Kh,Ma,Ha
ACARI,Eupodidae,Eupodes n.sp.,Eupodes,n.sp.,,?,,Ka,,,,,,
ACARI,Eupodidae,Eupodes sigmoidensis,Eupodes,sigmoidensis,"Strandtmann & Goff, 1978",adv,,,Oa,,,,,Ha
ACARI,Eupodidae,Eupodes voxencollinus,Eupodes,voxencollinus,"Thor, 1934",adv,,,,,,,,Ha
ACARI,Eupodidae,Hawaiieupodes thermophilus,Hawaiieupodes,thermophilus,"Strandtmann & Goff, 1978",end,,,,,,,,Ha
ACARI,Gabucinidae,Gabucinia delibatus,Gabucinia,delibatus,"(Robin, 1877)",adv,,,,,,,,Ha
ACARI,Galumnidae,Galumna alata,Galumna,alata,"(Hermann, 1804)",adv,,Ka,,,Ln,,,Ha
ACARI,Galumnidae,Galumna australis pembertoni,Galumna,australis pembertoni,"(Jacot, 1934)",end?,,,Oa,,Ln,,,Ha
ACARI,Galumnidae,Galumna climata,Galumna,climata,"(C.L. Koch, 1841)",adv,,,,,,,,
ACARI,Galumnidae,Galumna flabellifera,Galumna,flabellifera,"Hammer, 1958",adv,,,,,,Kh,,
ACARI,Galumnidae,Galumna fordi,Galumna,fordi,"(Jacot, 1934)",end,,,Oa,,,,,
ACARI,Galumnidae,Galumna swezeyi,Galumna,swezeyi,"Jacot, 1928",end?,,,Oa,,Ln,,,
ACARI,Galumnidae,Pergalumna hawaiiensis,Pergalumna,hawaiiensis,"(Jacot, 1934)",end,,,Oa,,,,,
ACARI,Glycyphagidae,Blomia sp.,Blomia,sp.,,?,,,Oa,,,,,
ACARI,Glycyphagidae,Glycyphagus domesticus,Glycyphagus,domesticus,"(DeGeer, 1771)",adv,,,Oa,,,,,
ACARI,Halacaridae,Acarochelopodia biunguis,Acarochelopodia,biunguis,"Bartsch, 1988",end,,,Oa,,,,,Ha
ACARI,Halacaridae,Acarochelopodia triunguis,Acarochelopodia,triunguis,"Bartsch, 1988",end?,,,Oa,,,,,
ACARI,Halacaridae,Actacarus pacificus,Actacarus,pacificus,"Bartsch, 1979",end,,,Oa,,,,,
ACARI,Halacaridae,Actacarus uniscutatus,Actacarus,uniscutatus,"Bartsch, 1988",end,,,,,,,,Ha
ACARI,Halacaridae,Copidognathus areolatus,Copidognathus,areolatus,"Bartsch, 1989",end?,,Ka,,,,,,
ACARI,Halacaridae,Copidognathus dentipes,Copidognathus,dentipes,"Bartsch, 1989",end?,,Ka,Oa,,,,,
ACARI,Halacaridae,Copidognathus hawaiiensis,Copidognathus,hawaiiensis,"Bartsch, 1989",end?,,Ka,Oa,,,,,
ACARI,Halacaridae,Copidognathus matthewsi,Copidognathus,matthewsi,"Newell, 1956",end?,,,Oa,,,,,
ACARI,Halacaridae,Copidognathus unispinosus,Copidognathus,unispinosus,"Bartsch, 1989",end?,,Ka,,,,,,
ACARI,Halacaridae,Copidognathus ventriscutatus,Copidognathus,ventriscutatus,"Bartsch, 1989",end?,,,,,,,,Ha
ACARI,Halacaridae,Isobactrus pacificus,Isobactrus,pacificus,"Bartsch, 1989",end?,,Ka,,,,,,
ACARI,Halacaridae,Lobohalacarus weberi,Lobohalacarus,weberi,"(Romijn & Viets, 1924)",adv,,,Oa,,,,,
ACARI,Halacaridae,Rhombognathus glaber,Rhombognathus,glaber,"Bartsch, 1989",end,,,,,,,Ma,
ACARI,Halacaridae,Rhombognathus insularis,Rhombognathus,insularis,"Bartsch, 1989",end?,,Ka,,,,,Ma,
ACARI,Halacaridae,Rhombognathus lubricellus,Rhombognathus,lubricellus,"Bartsch, 1989",end?,,Ka,,,,,,
ACARI,Halacaridae,Scaptognathides hawaiiensis,Scaptognathides,hawaiiensis,"Bartsch, 1988",end?,,,Oa,,,,,
ACARI,Halacaridae,Scaptognathides ornatus,Scaptognathides,ornatus,"Bartsch, 1988",end?,,,,,,,,Ha
ACARI,Halacaridae,Scaptognathus kunzi,Scaptognathus,kunzi,"Bartsch, 1988",end?,,,,,,,,Ha
ACARI,Halacaridae,Soldanellonyx monardi,Soldanellonyx,monardi,"Walter, 1919",adv,,,Oa,,,,,
ACARI,Halarachnidae,Halarachne laysanae,Halarachne,laysanae,"Furman & Dailey, 1980",end,,,Oa,,,,,
ACARI,Halarachnidae,Pneumonyssoides caninum,Pneumonyssoides,caninum,"(Chandler & Ruhe, 1940)",adv,,,Oa,,,,,
ACARI,Haplozetidae,Peloribates spp.,Peloribates,spp.,,?,,,,,,,,
ACARI,Haplozetidae,Protoribates pembertoni,Protoribates,pembertoni,"(Jacot, 1934)",end?,,,,,,,,Ha
ACARI,Harpyrhynchidae,Harpyrhynchus pilirostris,Harpyrhynchus,pilirostris,"Berlese & Trouessart, 1892",adv,,,Oa,,,,,Ha
ACARI,Hemisarcoptidae,Hemisarcoptes sp. nr. matus,Hemisarcoptes,sp. nr. matus,"Shimer, 1868",adv?,,,Oa,,,,,
ACARI,Histiostomatidae,Histiostoma sp.,Histiostoma,sp.,,?,,,Oa,,,,,
ACARI,Histiostomatidae,Myianoetus sp.,Myianoetus,sp.,,?,,,Oa,,,,,
ACARI,Hypoderidae,Neottialges fregatae,Neottialges,fregatae,"Fain & Amerson, 1968",ind?,,,,,,,,
ACARI,Hypoderidae,Neottialges hawaiiensis,Neottialges,hawaiiensis,"Fain & Amerson, 1968",ind?,,,,,,,,
ACARI,Icthyostomatogasteridae,Neottialges unidentified,Neottialges,unidentified,,?,,,Oa,,,,,
ACARI,Iolinidae,Tolina nana,Tolina,nana,"Pritchard, 1956",adv,,,,,,,,
ACARI,Ixodidae,Amblyomma americana,Amblyomma,americana,"(Linnaeus, 1758)",adv,,,Oa,,,,,
ACARI,Ixodidae,Amblyomma nuttalli,Amblyomma,nuttalli,"Donitz, 1909",adv,,,Oa,,,,,
ACARI,Ixodidae,Aponomma sp.,Aponomma,sp.,,adv,,,Oa,,,,,
ACARI,Ixodidae,Dermacentor albipictus,Dermacentor,albipictus,"(Packard, 1869)",adv,,,Oa,,,,,
ACARI,Ixodidae,Ixodes laysanensis,Ixodes,laysanensis,"Wilson, 1964",end?,,,,,,,,
ACARI,Ixodidae,Rhipicephalus sanguineus,Rhipicephalus,sanguineus,"(Latreille, 1806)",adv,,Ka,Oa,,,,Ma,Ha
ACARI,Knemidokoptidae,Knemidokoptes mutans,Knemidokoptes,mutans,"(Robin & Lanquetin, 1859)",adv,,,,,,,,
ACARI,Knemidokoptidae,Knemidokoptes pilae,Knemidokoptes,pilae,"Lavoipierre & Griffiths, 1951",adv,,,Oa,,,,,
ACARI,Knemidokoptidae,Mesoknemidokoptes gallinae,Mesoknemidokoptes,gallinae,"(Railliet, 1887)",adv,,,,,,,,
ACARI,Laelapidae,Androlaelaps casalis,Androlaelaps,casalis,"(Berlese, 1887)",adv,,,Oa,,,,,Ha
ACARI,Laelapidae,Androlaelaps hermaphrodita,Androlaelaps,hermaphrodita,"(Berlese, 1887)",adv,,,Oa,,,Kh,,Ha
ACARI,Laelapidae,Echinonyssus butantanensis,Echinonyssus,butantanensis,"(Fonseca, 1932)",adv,,,,,,,,Ha
ACARI,Laelapidae,Eulaelaps stabularis,Eulaelaps,stabularis,"(C.L. Koch, 1839)",adv,,,,,,,,Ha
ACARI,Laelapidae,Gymnolaelaps missouriensis,Gymnolaelaps,missouriensis,"(Ewing, 1909)",adv,,,,,,,,Ha
ACARI,Laelapidae,Hypoaspis aculeifer,Hypoaspis,aculeifer,"(Canestrini, 1884)",adv,,,Oa,,,,,Ha
ACARI,Laelapidae,Hypoaspis diversichaetatus,Hypoaspis,diversichaetatus,"(Grochovskaya & Nguen-Huan-Ho, 1961)",adv,,,Oa,,,,,
ACARI,Laelapidae,Hypoaspis sp.nr. glabrosimilis,Hypoaspis,sp.nr. glabrosimilis,"Hirschmann, 1969",end?,,,,,,,Ma,Ha
ACARI,Laelapidae,Hypoaspis miles,Hypoaspis,miles,"(Berlese, 1892)",adv,,,Oa,,,,,Ha
ACARI,Laelapidae,Hypoaspis nidicorva,Hypoaspis,nidicorva,"Evans & Till, 1966",adv,,,,,,,,Ha
ACARI,Laelapidae,Hypoaspis queenslandicus,Hypoaspis,queenslandicus,"(Womersley, 1956)",adv,,,,,,,,Ha
ACARI,Laelapidae,Hypoaspis sardoa,Hypoaspis,sardoa,"(Berlese, 1911)",adv,,,,,,,,
ACARI,Laelapidae,Hypoaspis scimita,Hypoaspis,scimita,"(Womersley, 1956)",adv,,,,,,,Ma,Ha
ACARI,Laelapidae,Laelaps echidnina,Laelaps,echidnina,"Berlese, 1887",adv,,Ka,Oa,,,,Ma,Ha
